recipenlg_어휘,flavorgraph_노드,매칭방식,recipenlg_빈도,부분후보
peach halves,,부분(미승인),532,peach
double cream,double_cream,정확,532,
fusilli,fusilli,정확,531,
coconut sugar,,부분(미승인),529,sugar|coconut
English cheese,,부분(미승인),528,cheese
extra-lean ground beef,,부분(미승인),527,beef
Green pepper,green_pepper,정확,527,
Yellow Mustard,yellow_mustard,정확,527,
Hearts,,부분(미승인),527,hearts_of_palm
soy flour,soy_flour,정확,526,
head of cabbage,head_of_cabbage,정확,526,
low-fat cream cheese,,부분(미승인),525,cheese|cream
paste,,부분(미승인),525,sesame_seed_paste|onion_paste|black_bean_paste
lemon grass,,부분(미승인),525,lemon
white sauce,white_sauce,정확,521,
Green onion,green_onion,정확,521,
Beef Broth,beef_broth,정확,521,
Whole Wheat Pastry Flour,whole_wheat_pastry_flour,정확,521,
cooking wine,cooking_wine,정확,520,
rotini,,부분(미승인),520,rotini_noodle|whole_wheat_rotini
tea,tea,정확,520,
instant white rice,,부분(미승인),519,rice
Turkey Breast,turkey_breast,정확,519,
Almond Milk,almond_milk,정확,518,
pie filling,pie_filling,정확,517,
bacon fat,bacon_fat,정확,517,
instant pudding,,부분(미승인),516,pudding
Boston lettuce,boston_lettuce,정확,516,
refrigerated biscuits,refrigerated_biscuit,정확(수),516,
orange slice,orange_slice,정확,513,
Boiling water,boiling_water,정확,513,
lean bacon,lean_bacon,정확,512,
semisweet chocolate chips,semisweet_chocolate_chip,정확(수),511,
fully cooked ham,,부분(미승인),510,ham
ground fennel,ground_fennel,정확,510,
green tea,green_tea,정확,510,
Ground black pepper,ground_black_pepper,정확,510,
green chile peppers,,부분(미승인),509,green|chile
Irish whiskey,irish_whiskey,정확,507,
chocolate shavings,chocolate_shaving,정확(수),507,
fresh bean sprouts,fresh_bean_sprout,정확(수),506,
process cheese,,부분(미승인),506,cheese
Italian Sausage,italian_sausage,정확,506,
yellow mustard seeds,yellow_mustard_seed,정확(수),506,
Italian cheese,italian_cheese,정확,504,
pork tenderloins,pork_tenderloin,정확(수),504,
Red onion,red_onion,정확,504,
semi-sweet chocolate bits,,부분(미승인),503,chocolate
bouillon cube,bouillon_cube,정확,503,
Vegetable Stock,vegetable_stock,정확,503,
chicken base,chicken_base,정확,502,
croissants,croissant,정확(수),502,
Four Cheese,,부분(미승인),502,cheese
crispy rice cereal,crispy_rice_cereal,정확,501,
coconut extract,coconut_extract,정확,500,
serrano chilies,serrano_chilies,정확,500,
hot Italian sausage,hot_italian_sausage,정확,498,
pork ribs,pork_rib,정확(수),498,
Graham Cracker Crumbs,graham_cracker_crumb,정확(수),496,
ground paprika,ground_paprika,정확,495,
Kidney Beans,kidney_bean,정확(수),495,
lime sherbet,lime_sherbet,정확,493,
jalapeno chiles,jalapeno_chile,정확(수),493,
coarse grain mustard,coarse_grain_mustard,정확,493,
Orange Zest,orange_zest,정확,493,
pink salmon,pink_salmon,정확,492,
Cereal,cereal,정확,492,
fava beans,fava_bean,정확(수),492,
chocolate morsels,,부분(미승인),491,chocolate
Equal,,부분(미승인),489,equal_sugar_substitute
raspberry gelatin,,부분(미승인),489,gelatin|raspberry
pepitas,pepitas,정확,489,
pecorino romano cheese,pecorino_romano_cheese,정확,489,
Confectioners sugar,,부분(미승인),488,sugar
crisp rice,,부분(미승인),488,rice
button mushroom,button_mushroom,정확,488,
graham cracker pie crusts,graham_cracker_pie_crust,정확(수),487,
light-brown sugar,,부분(미승인),487,sugar
baby shrimp,baby_shrimp,정확,486,
mushroom pieces,mushroom_piece,정확(수),486,
torn romaine lettuce,,부분(미승인),486,lettuce
Horseradish,horseradish,정확,486,
dry red wine,dry_red_wine,정확,485,
millet,millet,정확,483,
pickle,pickle,정확,483,
beef sirloin steak,beef_sirloin_steak,정확,483,
Coriander,coriander,정확,482,
Crystal,,부분(미승인),482,coconut_sugar_crystal|sugar_crystal|green_sugar_crystal
puree,puree,정확,482,
neutral oil,,부분(미승인),482,oil
hen,hen,정확,481,
grated carrot,,부분(미승인),480,carrot
fresh,,부분(미승인),480,fresh_lime_zest|fresh_goat_cheese|fresh_basil
grain mustard,,부분(미승인),480,mustard|grain
ground ham,ground_ham,정확,479,
lemon instant pudding,,부분(미승인),478,pudding|lemon
citron,citron,정확,478,
seasoning mix,,부분(미승인),478,seasoning
corn flour,,부분(미승인),478,flour|corn
glaze,glaze,정확,478,
chicken thigh,chicken_thigh,정확,478,
seeds,seed,정확(수),477,
Pancake mix,pancake_mix,정확,477,
Mexicorn,mexicorn,정확,476,
cherry gelatin,cherry_gelatin,정확,476,
chili seasoning mix,chili_seasoning_mix,정확,476,
vanilla bean paste,vanilla_bean_paste,정확,476,
vegetable soup mix,vegetable_soup_mix,정확,475,
chipotle chiles,chipotle_chile,정확(수),475,
Italian breadcrumbs,italian_breadcrumb,정확(수),474,
ground lean pork,ground_lean_pork,정확,474,
blackberry,blackberry,정확,474,
Tahini,tahini,정확,474,
herb stuffing,,부분(미승인),473,herb
chocolate wafer crumbs,chocolate_wafer_crumb,정확(수),473,
mincemeat,mincemeat,정확,472,
fresh okra,fresh_okra,정확,471,
White Wine Vinegar,white_wine_vinegar,정확,471,
rum flavoring,rum_flavoring,정확,470,
chili with beans,chili_with_bean,정확(수),470,
white kidney beans,white_kidney_bean,정확(수),470,
Brussels sprouts,brussels_sprout,정확(수),470,
Fish Sauce,fish_sauce,정확,470,
Crusty bread,crusty_bread,정확,470,
shoyu,shoyu,정확,469,
semolina,semolina,정확,469,
Philadelphia,,부분(미승인),469,philadelphia_chive_&_onion_cream_cheese_spread|philadelphia_neufchatel_cheese|kraft_shredded_triple_cheddar_cheese_with_a_touch_of_philadelphia
curacao,curacao,정확,469,
Tortilla Chips,tortilla_chip,정확(수),468,
hot coffee,hot_coffee,정확,467,
recipe,,부분(미승인),467,recipe_pizza_dough|lipton_recipe_secrets_savory_herb_with_garlic_soup_mix|lipton_recipe_secrets_onion_soup_mix
Leeks,leek,정확(수),467,
vidalia onions,vidalia_onion,정확(수),467,
craisins,craisins,정확,466,
whole almonds,whole_almond,정확(수),465,
rabbit,rabbit,정확,464,
coffee ice cream,coffee_ice_cream,정확,464,
Dry Mustard,dry_mustard,정확,463,
roasting chickens,roasting_chicken,정확(수),463,
Bread Flour,bread_flour,정확,463,
bread machine yeast,bread_machine_yeast,정확,463,
Freshly ground white pepper,,부분(미승인),463,pepper
curry pwdr,,부분(미승인),463,curry
Golden Delicious apples,golden_delicious_apple,정확(수),462,
crisp rice cereal,crisp_rice_cereal,정확,461,
taco chips,taco_chip,정확(수),460,
corn tortilla,corn_tortilla,정확,459,
head radicchio,,부분(미승인),459,radicchio
Clove garlic,,부분(미승인),458,garlic|clove
chocolate curls,,부분(미승인),457,chocolate
coarse black pepper,,부분(미승인),454,pepper
strawberry ice cream,strawberry_ice_cream,정확,454,
Chinese cabbage,chinese_cabbage,정확,454,
Tabasco Sauce,tabasco_sauce,정확,454,
blanched almond,blanched_almond,정확,454,
wasabi powder,wasabi_powder,정확,454,
cornichons,cornichons,정확,454,
New,,부분(미승인),453,new_york_strip_steak|new_potato|new_mexico_pepper
deli turkey,deli_turkey,정확,453,
andouille sausage,andouille_sausage,정확,453,
Fennel,fennel,정확,453,
Cream Of Chicken Soup,cream_of_chicken_soup,정확,453,
chocolate wafer cookies,chocolate_wafer_cookie,정확(수),452,
miso,miso,정확,452,
herb seasoned stuffing mix,herb_seasoned_stuffing_mix,정확,451,
bulgur wheat,bulgur_wheat,정확,451,
Croutons,crouton,정확(수),451,
edamame,edamame,정확,451,
Great Northern beans,great_northern_bean,정확(수),450,
lemonade mix,lemonade_mix,정확,450,
frozen cauliflower,frozen_cauliflower,정확,449,
acorn squash,acorn_squash,정확,449,
coconut rum,coconut_rum,정확,449,
persimmon pulp,persimmon_pulp,정확,448,
fresh crabmeat,fresh_crabmeat,정확,448,
veal stock,veal_stock,정확,448,
green curry,,부분(미승인),448,green|curry
Frangelico,frangelico,정확,447,
Maple,,부분(미승인),447,maple_syrup|maple_flavoring|maple_sugar
flounder,flounder,정확,446,
plantains,plantain,정확(수),446,
Dipping Sauce,dipping_sauce,정확,446,
ground venison,ground_venison,정확,445,
pepperoncini peppers,pepperoncini_pepper,정확(수),445,
unsweetened almond milk,unsweetened_almond_milk,정확,445,
chocolate milk,chocolate_milk,정확,444,
alfalfa sprouts,alfalfa_sprout,정확(수),442,
sausage links,sausage_link,정확(수),442,
Orange juice,orange_juice,정확,442,
Cloves,clove,정확(수),442,
firm,,부분(미승인),441,firm_white_fish|firm_margarine|extra_firm_silken_tofu
frozen rhubarb,frozen_rhubarb,정확,441,
coffee creamer,coffee_creamer,정확,441,
Pepperoni,pepperoni,정확,441,
white hominy,white_hominy,정확,439,
beef short ribs,beef_short_rib,정확(수),439,
Cherries,,부분(미승인),439,cherries_in_syrup
Irish Cream,irish_cream,정확,439,
sourdough starter,sourdough_starter,정확,438,
shredded sharp Cheddar cheese,,부분(미승인),438,cheese
vanilla pudding mix,vanilla_pudding_mix,정확,438,
nutella,nutella,정확,438,
boneless chicken,boneless_chicken,정확,437,
bran cereal,,부분(미승인),437,cereal
red salmon,red_salmon,정확,437,
Bread crumbs,,부분(미승인),437,bread
Eggplant,eggplant,정확,437,
lemon cake,,부분(미승인),436,cake|lemon
red beets,red_beet,정확(수),436,
Cherry Tomatoes,,부분(미승인),436,cherry
coating,,부분(미승인),435,chocolate_flavored_candy_coating|coating_mix|vanilla_candy_coating
season salt,season_salt,정확,435,
Cacao,cacao,정확,435,
fresh black pepper,fresh_black_pepper,정확,434,
solid-pack pumpkin,,부분(미승인),434,pumpkin
duck breasts,duck_breast,정확(수),434,
skirt,,부분(미승인),434,skirt_steak
White Pepper,white_pepper,정확,433,
processed cheese,processed_cheese,정확,433,
Chili Sauce,chili_sauce,정확,433,
garlic pepper,,부분(미승인),433,pepper|garlic
whole wheat pita bread,whole_wheat_pita_bread,정확,433,
freshly ground nutmeg,,부분(미승인),432,nutmeg
serrano chili,serrano_chili,정확,431,
cracker,cracker,정확,431,
fresh cracked pepper,fresh_cracked_pepper,정확,431,
Vegetable,vegetable,정확,431,
breadcrumb,breadcrumb,정확,431,
whole wheat bread crumbs,whole_wheat_bread_crumb,정확(수),430,
gruyere,gruyere,정확,430,
No,,부분(미승인),429,no_salt_added_stewed_tomato|no_yolk_noodle|no_salt_added_corn
dark raisins,dark_raisin,정확(수),429,
milk ricotta cheese,,부분(미승인),429,cheese|milk
water cold,,부분(미승인),429,water
Caramels,caramel,정확(수),427,
cardamom powder,cardamom_powder,정확,427,
spaghetti sauce mix,spaghetti_sauce_mix,정확,426,
Jack cheese,,부분(미승인),426,cheese
crusty,,부분(미승인),426,pillsbury_refrigerated_crusty_french_loaf|crusty_bread|crusty_italian_bread
mushroom caps,mushroom_cap,정확(수),426,
Grape Tomatoes,,부분(미승인),426,grape
yellow food coloring,yellow_food_coloring,정확,425,
granola,,부분(미승인),425,granola_bar|granola_cereal|low_fat_granola
sherbet,sherbet,정확,424,
Snickers,,부분(미승인),424,snickers_candy_bar|snickers_miniature_candy_bar
hoagie rolls,hoagie_roll,정확(수),424,
salsa verde,salsa_verde,정확,424,
Goat Cheese,goat_cheese,정확,423,
marjoram leaves,,부분(미승인),422,marjoram
potato flakes,potato_flake,정확(수),422,
cardamom seeds,cardamom_seed,정확(수),422,
Cream Cheese Frosting,cream_cheese_frosting,정확,421,
Applesauce,applesauce,정확,421,
frozen lima beans,frozen_lima_bean,정확(수),419,
Caramel Sauce,caramel_sauce,정확,419,
sweet vermouth,sweet_vermouth,정확,419,
portabella mushroom,portabella_mushroom,정확,419,
ground hazelnuts,ground_hazelnut,정확(수),419,
yellow rice,yellow_rice,정확,418,
egg roll wrappers,,부분(미승인),418,egg|roll
granola cereal,granola_cereal,정확,417,
balsamic vinaigrette,balsamic_vinaigrette,정확,417,
White Rice,white_rice,정확,417,
Jalapenos,jalapeno,정확(수),416,
mint sprig,mint_sprig,정확,416,
Fresh Spinach,fresh_spinach,정확,416,
pie crusts,pie_crust,정확(수),415,
Bell Peppers,bell_pepper,정확(수),415,
fresh ricotta,fresh_ricotta,정확,415,
apricot jello,,부분(미승인),414,apricot
cookie crumbs,cookie_crumb,정확(수),414,
Turkish,,부분(미승인),414,turkish_bay_leaf|turkish_bread
macaroni noodles,macaroni_noodle,정확(수),413,
suet,suet,정확,413,
Lime juice,lime_juice,정확,413,
orange-flavored liqueur,,부분(미승인),413,liqueur
Red wine vinegar,red_wine_vinegar,정확,413,
blackberry jam,blackberry_jam,정확,412,
frozen okra,frozen_okra,정확,412,
banana peppers,banana_pepper,정확(수),412,
Cream Of Mushroom Soup,cream_of_mushroom_soup,정확,412,
white sandwich bread,,부분(미승인),411,bread
ground coffee,ground_coffee,정확,411,
country ham,country_ham,정확,411,
chocolate kisses,,부분(미승인),410,chocolate
strawberry pie filling,strawberry_pie_filling,정확,410,
Ground beef,ground_beef,정확,410,
grnd beef,,부분(미승인),410,beef
Tarragon,tarragon,정확,409,
graham cracker pie shell,,부분(미승인),408,cracker
whole wheat,,부분(미승인),408,wheat
White Chocolate,white_chocolate,정확,407,
Sriracha sauce,sriracha_sauce,정확,407,
Red Peppers,red_pepper,정확(수),406,
Tomato sauce,tomato_sauce,정확,406,
lemon juiced,,부분(미승인),406,lemon
powdered gelatin,,부분(미승인),406,gelatin
Vidalia,,부분(미승인),405,vidalia_onion
starter,,부분(미승인),405,sourdough_starter|amish_starter|active_starter
Ground cinnamon,ground_cinnamon,정확,405,
vanilla vodka,vanilla_vodka,정확,405,
tomato catsup,,부분(미승인),404,tomato|catsup
sweet green pepper,sweet_green_pepper,정확,404,
Liquid Smoke,liquid_smoke,정확,404,
phyllo dough,phyllo_dough,정확,404,
Chia Seeds,chia_seed,정확(수),404,
Marsala,marsala,정확,403,
lemon pie filling,lemon_pie_filling,정확,402,
Pistachios,pistachio,정확(수),402,
Cream Of Tartar,cream_of_tartar,정확,402,
cream of broccoli soup,cream_of_broccoli_soup,정확,400,
Muenster cheese,muenster_cheese,정확,400,
bibb lettuce,bibb_lettuce,정확,400,
low-fat vanilla yogurt,,부분(미승인),400,yogurt|vanilla
Herbs,herb,정확(수),400,
orange bitters,orange_bitter,정확(수),400,
lime wedge,lime_wedge,정확,400,
Egg White,egg_white,정확,400,
cream of shrimp soup,cream_of_shrimp_soup,정확,399,
duck,duck,정확,399,
Philadelphia Cream Cheese,philadelphia_cream_cheese,정확,398,
liquid sweetener,liquid_sweetener,정확,397,
black tea,black_tea,정확,397,
hot paprika,hot_paprika,정확,397,
'S White Chocolate,,부분(미승인),397,chocolate
Red wine,red_wine,정확,397,
water boiling,,부분(미승인),397,water
swordfish,swordfish,정확,395,
ginger ground,,부분(미승인),395,ginger
cream sherry,cream_sherry,정확,394,
tasty cheese,tasty_cheese,정확,394,
fresh jalapeno,fresh_jalapeno,정확,394,
plum sauce,plum_sauce,정확,393,
whole chickens,whole_chicken,정확(수),392,
Rolls,roll,정확(수),392,
skirt steak,skirt_steak,정확,392,
Icing Sugar,icing_sugar,정확,392,
Sesame Dressing,sesame_dressing,정확,391,
ground nuts,ground_nut,정확(수),390,
instant pistachio pudding,,부분(미승인),390,pistachio|pudding
Ground Coriander,ground_coriander,정확,390,
solid pack pumpkin,solid_pack_pumpkin,정확,389,
Active Dry Yeast,active_dry_yeast,정확,389,
colby cheese,colby_cheese,정확,389,
fresh herb,fresh_herb,정확,389,
ground pork sausage,,부분(미승인),388,sausage|pork
beef round steak,beef_round_steak,정확,388,
chile pepper,,부분(미승인),388,pepper|chile
Brown Rice,brown_rice,정확,388,
consomme,consomme,정확,387,
chili seasoning,,부분(미승인),387,seasoning|chili
almond bark,almond_bark,정확,387,
Tapioca,tapioca,정확,387,
fresh jalapenos,fresh_jalapeno,정확(수),387,
Spanish onions,spanish_onion,정확(수),387,
wild mushrooms,wild_mushroom,정확(수),387,
coconut water,coconut_water,정확,387,
Sherry vinegar,,부분(미승인),387,vinegar
gold potato,,부분(미승인),387,potato
sugar cookie,,부분(미승인),386,sugar|cookie
green cardamom pods,green_cardamom_pod,정확(수),386,
bagels,bagel,정확(수),385,
sesame,sesame,정확,385,
chocolate sprinkles,chocolate_sprinkle,정확(수),385,
Frozen Peas,frozen_pea,정확(수),385,
chipped beef,chipped_beef,정확,384,
manchego cheese,manchego_cheese,정확,384,
Tea,tea,정확,383,
semi sweet chocolate chips,semi_sweet_chocolate_chip,정확(수),383,
caramel,caramel,정확,383,
strawberry yogurt,strawberry_yogurt,정확,383,
Chops,,부분(미승인),383,pork_loin_chops_with_bone
protein powder,protein_powder,정확,383,
chicken gravy,chicken_gravy,정확,382,
saltine crackers,saltine_cracker,정확(수),382,
fresh coconut,fresh_coconut,정확,382,
Creole mustard,creole_mustard,정확,382,
batter,batter,정확,382,
sausage meat,sausage_meat,정확,381,
French style green beans,french_style_green_bean,정확(수),381,
turkey broth,turkey_broth,정확,381,
vital wheat gluten,vital_wheat_gluten,정확,381,
Tomato paste,tomato_paste,정확,380,
Bibb lettuce,bibb_lettuce,정확,380,
nacho chips,nacho_chip,정확(수),379,
Bisquick baking,,부분(미승인),379,bisquick
Couscous,couscous,정확,379,
green enchilada sauce,green_enchilada_sauce,정확,378,
white cabbage,white_cabbage,정확,378,
fresh ground white pepper,fresh_ground_white_pepper,정확,378,
Dried Basil,dried_basil,정확,378,
Cardamom,cardamom,정확,378,
light margarine,light_margarine,정확,377,
Chili powder,chili_powder,정확,377,
custard powder,custard_powder,정확,377,
muenster cheese,muenster_cheese,정확,377,
Butterfinger,,부분(미승인),376,butterfinger_candy_bar
maple flavoring,maple_flavoring,정확,376,
rice cereal,,부분(미승인),376,cereal|rice
crawfish,crawfish,정확,376,
sweet Hungarian paprika,sweet_hungarian_paprika,정확,376,
silken tofu,silken_tofu,정확,376,
sumac,sumac,정확,376,
Milky,,부분(미승인),375,milky_way_bar
hearts of palm,hearts_of_palm,정확,375,
Scallion,scallion,정확,375,
Base,,부분(미승인),375,chicken_soup_base|ham_soup_base|vegetable_stock_base
SALT,salt,정확,375,
Semi-Sweet Chocolate Chips,,부분(미승인),374,chocolate
semi-sweet chocolate baking squares,,부분(미승인),374,chocolate
beef cubes,,부분(미승인),373,beef
pink grapefruit,pink_grapefruit,정확,373,
pizza dough,pizza_dough,정확,372,
English muffins,english_muffin,정확(수),372,
liquid egg substitute,liquid_egg_substitute,정확,372,
Bran,,부분(미승인),372,all_bran_cereal|rice_bran_oil|100%_bran
Calvados,calvados,정확,372,
Balsamic vinegar,balsamic_vinegar,정확,372,
lime slice,lime_slice,정확,372,
Gruyère cheese,,부분(미승인),372,cheese
paraffin wax,paraffin_wax,정확,371,
white peppercorns,white_peppercorn,정확(수),371,
savoy cabbage,savoy_cabbage,정확,371,
Freshly Ground Pepper,,부분(미승인),371,pepper
tapioca starch,tapioca_starch,정확,371,
vanilla instant pudding mix,vanilla_instant_pudding_mix,정확,370,
Valley,,부분(미승인),370,hidden_valley_original_ranch_dressing|hidden_valley_ranch_dip|hidden_valley_original_ranch_dressing_and_seasoning_mix
lemon yogurt,lemon_yogurt,정확,369,
Chicken breasts,chicken_breast,정확(수),369,
Garlic Salt,garlic_salt,정확,369,
condensed golden mushroom soup,condensed_golden_mushroom_soup,정확,369,
Bread flour,bread_flour,정확,369,
chocolate sandwich cookies,,부분(미승인),368,chocolate
kiwis,kiwi,정확(수),368,
red cinnamon,,부분(미승인),368,cinnamon
dessert,,부분(미승인),367,dessert_apple|whipped_dessert_topping_mix|strawberry_jell_o_gelatin_dessert
Italian cheese blend,italian_cheese_blend,정확,367,
boneless beef,,부분(미승인),366,beef
lean ground pork,,부분(미승인),366,pork
ReaLemon juice,realemon_juice,정확,366,
pectin,pectin,정확,366,
tenderizer,,부분(미승인),366,meat_tenderizer
Lemon slices,lemon_slice,정확(수),366,
Soda,,부분(미승인),366,strawberry_soda|soda_water|mountain_dew_soda
coarse sugar,coarse_sugar,정확,366,
red chili flakes,,부분(미승인),366,chili
baby food,baby_food,정확,365,
instant brown rice,,부분(미승인),365,rice
Green Chiles,,부분(미승인),365,green
lime slices,lime_slice,정확(수),364,
Pineapple Juice,pineapple_juice,정확,364,
provolone,,부분(미승인),364,smoked_provolone_cheese|provolone_cheese
ranch salad dressing,ranch_salad_dressing,정확,364,
vanilla pod,vanilla_pod,정확,364,
MUFFINS,muffin,정확(수),364,
Ground pork,ground_pork,정확,364,
cream of onion soup,cream_of_onion_soup,정확,363,
mashed banana,mashed_banana,정확,363,
Strawberry,strawberry,정확,363,
Gin,gin,정확,363,
liquid smoke flavoring,liquid_smoke_flavoring,정확,362,
shredded red cabbage,,부분(미승인),362,cabbage
clear honey,clear_honey,정확,362,
egg roll wraps,egg_roll_wrap,정확(수),361,
Provolone Cheese,provolone_cheese,정확,361,
Whipping cream,whipping_cream,정확,361,
cold coffee,,부분(미승인),360,coffee
cherry preserves,cherry_preserve,정확(수),360,
bourbon whiskey,bourbon_whiskey,정확,360,
Pork,pork,정확,360,
Whole wheat flour,whole_wheat_flour,정확,360,
rocket,rocket,정확,360,
lemon juice fresh,,부분(미승인),360,juice|lemon
purple,,부분(미승인),359,purple_plum|purple_potato|purple_onion
poblano chile,poblano_chile,정확,359,
hard salami,hard_salami,정확,358,
relish,relish,정확,358,
Pinto Beans,pinto_bean,정확(수),358,
Tenderloin,tenderloin,정확,358,
stevia,stevia,정확,358,
Red bell pepper,red_bell_pepper,정확,357,
Italian seasoned bread crumbs,,부분(미승인),356,bread
crabs,crab,정확(수),356,
ham steak,ham_steak,정확,356,
Meatballs,meatball,정확(수),356,
party rye bread,,부분(미승인),355,bread
snow,snow,정확,355,
fruits,fruit,정확(수),355,
Cooking Oil,cooking_oil,정확,355,
mixed candied fruit,mixed_candied_fruit,정확,354,
jalapeno chilies,,부분(미승인),354,jalapeno|chilies
calamari,calamari,정확,354,
leaf,,부분(미승인),353,flat_leaf_parsley|fresh_sweet_basil_leaf|sage_leaf
harissa,harissa,정확,353,
cream-style cottage cheese,,부분(미승인),352,cheese
white chicken,,부분(미승인),352,chicken
tangerines,tangerine,정확(수),352,
Chocolate chips,chocolate_chip,정확(수),352,
seedless grapes,seedless_grape,정확(수),351,
natural,,부분(미승인),351,earth_balance_natural_buttery_spread|natural_cane_sugar|natural_style_peanut_butter
wholegrain mustard,,부분(미승인),351,mustard
soda water,soda_water,정확,350,
serrano,serranos,정확(수),350,
Apple Cider,apple_cider,정확,350,
Silken,,부분(미승인),350,extra_firm_silken_tofu|silken_tofu|firm_silken_tofu
maraschino cherry juice,maraschino_cherry_juice,정확,349,
chocolate chip cookie,chocolate_chip_cookie,정확,349,
bologna,bologna,정확,348,
sweet yellow pepper,,부분(미승인),348,pepper
honeydew,honeydew,정확,348,
orange blossom water,orange_blossom_water,정확,348,
rice vermicelli,rice_vermicelli,정확,348,
madeira wine,madeira_wine,정확,348,
loin,,부분(미승인),347,loin_lamb|pork_loin_chops_with_bone|center_cut_pork_loin_chop
round steak,round_steak,정확,347,
Red Delicious apples,red_delicious_apple,정확(수),347,
Italian spices,italian_spice,정확(수),347,
anise seeds,anise_seed,정확(수),347,
White sesame seeds,white_sesame_seed,정확(수),347,
green chilis,green_chili,정확(수),346,
fryers,fryer,정확(수),346,
turkey meat,turkey_meat,정확,346,
Three,,부분(미승인),346,kraft_shredded_three_cheese_with_a_touch_of_philadelphia
soda crackers,soda_cracker,정확(수),345,
season,,부분(미승인),345,season_all_salt|season_salt
sunflower,,부분(미승인),345,sunflower_sprout|sunflower_oil|roasted_sunflower_seed
banana liqueur,banana_liqueur,정확,345,
greens,green,정확(수),344,
chicken pieces,chicken_piece,정확(수),344,
ham slices,ham_slice,정확(수),344,
pink,,부분(미승인),344,pink_salmon|pink_lemonade|pink_grapefruit_juice
Hormel chili,hormel_chili,정확,343,
chocolate chip cookies,chocolate_chip_cookie,정확(수),343,
color,,부분(미승인),343,tri_color_spiral_pasta
seedless watermelon,seedless_watermelon,정확,343,
lasagna,,부분(미승인),342,dry_lasagna_noodle|fresh_lasagna_noodle|no_boil_lasagna_noodle
Starch,starch,정확,342,
raspberry sherbet,raspberry_sherbet,정확,341,
shortbread cookies,shortbread_cookie,정확(수),341,
orecchiette,orecchiette,정확,341,
non-hydrogenated margarine,,부분(미승인),341,margarine
parchment paper,parchment_paper,정확,340,
pecan pieces,pecan_piece,정확(수),339,
gummy worms,gummy_worm,정확(수),339,
dried beef,dried_beef,정확,338,
head romaine lettuce,head_romaine_lettuce,정확,338,
green chile,,부분(미승인),338,green|chile
russet,,부분(미승인),338,russet_potato|russet_baking_potato
red enchilada sauce,red_enchilada_sauce,정확,337,
marsala,marsala,정확,337,
oyster mushrooms,oyster_mushroom,정확(수),337,
canola mayonnaise,,부분(미승인),337,mayonnaise
velveeta cheese,velveeta_cheese,정확,336,
plums,plum,정확(수),336,
Cotija cheese,cotija_cheese,정확,336,
Vanilla Bean,vanilla_bean,정확,336,
baguettes,baguette,정확(수),335,
cream of tomato soup,cream_of_tomato_soup,정확,334,
sardines,sardine,정확(수),334,
cracked wheat,cracked_wheat,정확,334,
fresh lemon,fresh_lemon,정확,334,
beef base,beef_base,정확,334,
condensed chicken broth,condensed_chicken_broth,정확,333,
Unsweetened Applesauce,unsweetened_applesauce,정확,333,
frozen green pea,frozen_green_pea,정확,333,
graham cracker crumb crust,graham_cracker_crumb_crust,정확,332,
baby peas,baby_pea,정확(수),332,
stalks of celery,,부분(미승인),332,celery
beet,beet,정확,332,
nori,nori,정확,332,
fresh lemongrass,fresh_lemongrass,정확,332,
hamburger meat,hamburger_meat,정확,331,
beet juice,beet_juice,정확,331,
biscuit baking mix,,부분(미승인),331,biscuit
tomato slices,,부분(미승인),330,tomato
chile sauce,,부분(미승인),330,chile
chile peppers,,부분(미승인),330,chile
lime leaves,,부분(미승인),330,lime
bittersweet chocolate chips,bittersweet_chocolate_chip,정확(수),330,
whole wheat hamburger buns,whole_wheat_hamburger_bun,정확(수),330,
frozen broccoli cuts,frozen_broccoli_cut,정확(수),329,
bran flakes,bran_flake,정확(수),329,
head red cabbage,,부분(미승인),329,cabbage
flavor,,부분(미승인),329,butter_flavor_crisco|chicken_flavor_instant_bouillon|bugles_original_flavor_snack
mexican cheese,mexican_cheese,정확,329,
Layer,,부분(미승인),329,white_cake_layer
natural yoghurt,natural_yoghurt,정확,329,
filet,,부분(미승인),328,filet_of_beef|filet_mignon_steak|filet_mignon
broccoli spears,broccoli_spear,정확(수),328,
plum,plum,정확,328,
Alfredo sauce,alfredo_sauce,정확,328,
dark beer,dark_beer,정확,328,
Triple Sec,triple_sec,정확,327,
all-bran cereal,,부분(미승인),327,cereal
chocolate sauce,,부분(미승인),327,chocolate
sesame seed oil,sesame_seed_oil,정확,327,
grapeseed,,부분(미승인),327,grapeseed_oil
jalapeno chili,,부분(미승인),326,jalapeno|chili
solid white tuna,solid_white_tuna,정확,326,
purple cabbage,purple_cabbage,정확,326,
frozen shrimp,frozen_shrimp,정확,325,
Italian herb seasoning,italian_herb_seasoning,정확,325,
shortcrust pastry,shortcrust_pastry,정확,325,
BREAD,bread,정확,325,
roma,,부분(미승인),324,roma_tomato
Madeira,,부분(미승인),323,madeira_wine
mild cheese,mild_cheese,정확,323,
Rhubarb,rhubarb,정확,323,
natural-style peanut butter,,부분(미승인),323,butter|peanut
dried mustard,dried_mustard,정확,322,
chicken bouillon powder,chicken_bouillon_powder,정확,322,
cream cheese frosting,cream_cheese_frosting,정확,322,
whole wheat spaghetti,whole_wheat_spaghetti,정확,322,
short-grain rice,,부분(미승인),322,rice
Manchego cheese,manchego_cheese,정확,322,
irish cream,irish_cream,정확,322,
pumpkin spice,pumpkin_spice,정확,321,
